,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1417800.8524354056,-15862020.303896831,-70120307.8170848,421769557.4158253,1274205455.1623142,-1927143970.6865122,-5348268308.482807,3633660261.925763,9697602598.72504,-3083902135.5605683,-8072424819.100101,967245521.8542095,2539219875.63696
1,472982.36703984195,1042523.5200751028,18203618.144118283,41668545.35503441,-117884080.96026435,-266570354.868063,347995221.38250965,601853521.8164512,-546112383.2058171,-589225349.9059045,434149858.26157975,211591079.4685813,-136689811.8038656
2,275855.28767615807,-991963.2007348972,4410767.8222700935,9187605.075006327,-22157412.151442148,-43861746.26013145,48571595.04803499,97344708.27861394,-47890663.75146891,-98596125.80194047,14300983.691084076,37126910.17095592,3029630.5157516333
3,232106.05814637637,-19353308.713986084,15797275.90436172,715815866.3724902,912311884.6153566,-3420549816.547729,-4360991866.273257,6502308021.35727,7632877502.738602,-5494864877.298345,-5755078003.36446,1712467223.7295043,1570438770.3319662
4,865437.5474485438,-34576658.99586047,-83256610.66334471,866640678.6394801,1805375378.4204075,-4343491870.12143,-8137494887.660737,8797365812.811459,15736426151.691877,-7859501291.795232,-13970041523.335812,2569500034.5611978,4671931964.6959915
5,571790.260486658,-21600452.30506527,-8404397.57798165,831683833.5941968,1477107815.0935662,-4381674374.920629,-7958017431.843037,9219540267.73374,16084120067.47785,-8667270780.644007,-14034410556.922264,3022246455.8949943,4454441085.724877
6,283434.37001920474,-23821158.011181813,-17730883.977057543,778739366.4673128,1237375905.099695,-4195173197.4100714,-6340695962.170989,9076302038.307373,12805150850.636038,-8676513988.579983,-11473998749.006016,3039248820.355592,3809924813.250042
7,1668199.5793668204,-9637820.778992807,-88112477.13461863,209925436.55796587,1174846138.247762,-894162642.3581973,-4448292182.460939,1663648600.1856163,7375043914.572954,-1403257601.0907469,-5493976117.353016,429286790.7144103,1488111060.8381498
8,-84911.72896897049,-4663375.5089174,25644510.809837606,174179206.25618666,36877980.373756446,-952197292.2463661,-773934032.1286778,2063085724.1294982,2141212819.7073581,-1975553919.0917447,-2272363154.653674,696015906.1851329,845469078.2568076
9,789506.6508248529,-2338654.153902379,-3505639.140631085,37042398.61356821,16552429.854474505,-168850902.64710358,-4334911.49548936,333426391.9249044,-74819619.70889774,-300786489.3195671,115806989.81703128,101668298.38673314,-50201120.53742804
10,1263928.9081694158,-19257850.22497959,-101697932.41418254,499171069.1908046,1797434064.6179423,-2372753724.8544445,-7786667270.802883,4586938545.456048,14486798130.830791,-3889211951.1132283,-12276452614.528908,1188287427.7344913,3905908309.159474
11,-234327.53960331375,-26088910.37869984,59043128.52107694,703863141.1598347,-340628020.63299245,-4012392682.38883,1662129384.4061823,9142131010.397844,-3894325671.8387203,-9141025524.383095,4082565921.802556,3329102776.238699,-1539486966.9550984
12,-82240.57564461579,-19855959.960353237,23458043.99830837,761842683.6254516,957246156.8049035,-3790883364.3931017,-4662375906.114424,7652977768.2442665,7847055021.383703,-7000747954.339601,-5320466104.970415,2397092278.0191135,1170087048.9630706
13,1475857.0579046912,-14778997.355171343,-69149938.8498148,411751955.1153368,1377581835.6739054,-1844338106.156194,-5843684592.905226,3389933355.579285,10575027812.565105,-2760477699.611984,-8756719867.01769,811913574.5422825,2735025683.317847
14,1979558.7519501573,-13851350.294493226,-126568487.10927406,270468166.18083,1803677146.3410847,-497512638.2142478,-6489261379.881442,-432491684.295338,9996401738.464514,1493695984.7907503,-7008969932.342506,-828337720.6727889,1835255688.6872191
15,-706140.0645553976,-4553106.13487232,101186281.15994123,351328556.35313076,-450852477.98511124,-2152268363.4327307,382387894.56865966,4907081593.157059,902575354.0505553,-4829856343.131021,-1708095447.5975952,1730867276.8593502,776640407.4973266
16,413618.3558839457,-457226.89595303155,1321756.3553865082,-3755521.619078487,12008924.706701975,29318662.01591083,-90789972.16286685,-62753256.21764508,218069111.84300274,53732415.87570358,-221274015.0139478,-15942603.568387069,81173513.66361728
17,-500316.82767446554,-16074818.42993743,71737403.44060786,644301677.3698267,243418205.3893666,-3209491457.9714217,-1898453133.7113883,6298371397.406897,3527033734.94609,-5450266132.750779,-2500966043.41809,1732622363.3855937,579977159.9965631
18,249863.28114094862,-25140245.809999093,13816524.009371977,606466733.953419,74176628.91084372,-3203205505.8397746,394933564.5861372,7065350219.2062235,-1911225998.1779397,-6951411161.852988,2413433056.323479,2492076211.792867,-953405244.1485306
19,602818.8628535663,-25024969.634587012,-16101140.765216056,1027401430.525489,1931565181.884054,-5794589090.501112,-10361973738.562511,12839428829.133825,21012837769.881626,-12508078469.429724,-18490224017.05043,4466650273.355332,5935423735.266855
20,1995052.616751392,-20198808.306201275,-129704885.72539543,487878608.32509285,2004716986.4179,-2135989740.9909606,-7904570554.450007,4097683584.9155717,13382092902.000528,-3691049850.584539,-10225024738.472794,1260568137.3788118,2882039233.7312603
21,2539785.127692079,-17051544.591202,-147689308.26131663,395571763.6903353,2146739846.7268727,-1396583594.8609905,-8305852662.457877,1834813705.2588189,13922560040.748793,-865358841.3576462,-10676442313.211039,39343389.360830665,3079270820.3343387
22,513421.3773025324,-126245.03432598674,14017843.291138295,46534048.68236171,53710.052216416945,-228040722.61369005,-226121097.048487,403090464.8434757,559474192.3635067,-298453788.8858053,-502500206.0342708,76561952.44048071,155159124.02415842
